origin,destination,count,iata,name,city,state,country,latitude,longitude,origin_sum,state_group,ori_state_flights,city_unique,city_lat,city_long
FLL,LGB,332,JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,118804,,,Mount Airy,36.459735,-80.55295722
FLL,MCI,60,JFX,Walker County,Jasper,AL,USA,33.90199528,-87.31416639,0,,,Mineral Wells,32.78160556,-98.060175
FLL,MCO,2095,JHM,Kapalua,Lahaina,HI,USA,20.96293639,-156.6730317,0,,,Windom,43.91340167,-95.10940833
FLL,MDW,1622,JHW,Chautauqua Cty,Jamestown,NY,USA,42.15336861,-79.258035,0,,,San Diego,32.81573306,-117.1395664
FLL,MEM,480,JKA,Jack Edwards,Gulf Shores,AL,USA,30.28951667,-87.67371472,0,,,May Creek,61.33567417,-142.686775
FLL,MHT,245,JKJ,Moorhead Municipal,Moorhead,MN,USA,46.83919194,-96.66313028,0,,,McCall,44.88879556,-116.1017497
FLL,MIA,1,JKL,Julian Carroll,Jackson,KY,USA,37.59386111,-83.31725,0,,,Myrtle Beach,33.67975,-78.92833333
FLL,MKE,43,JLN,Joplin Regional,Joplin,MO,USA,37.15181361,-94.49826833,0,,,Mekoryuk,60.37142,-166.2706083
FLL,MSP,475,JMR,Mora Municipal,Mora,MN,USA,45.88609722,-93.27177833,0,,,Cortland,42.59264528,-76.2148825
FLL,MSY,593,JMS,Jamestown Municipal,Jamestown,ND,USA,46.92971944,-98.67819528,0,,,Lincoln Park,40.94752444,-74.31450139
FLL,OAK,13,JNU,Juneau International,Juneau,AK,USA,58.35496194,-134.5762764,4410,,,Collegeville,40.20404833,-75.43026306
FLL,ORD,1581,JNX,Johnston County,Smithfield,NC,USA,35.54094139,-78.39032944,0,,,Lakewood,40.0667825,-74.17764167
FLL,PHF,309,JOT,Joliet Park District,Chicago/Joliet,IL,USA,41.51805833,-88.17525583,0,,,Bloomsburg,40.99778111,-76.43605583
FLL,PHL,2977,JQF,Concord Regional,Concord,NC,USA,35.38520694,-80.70971389,0,,,Lumbrerton,39.93427778,-74.80725
FLL,PHX,622,JRA,Port Authority-W 30th St Midtown Heliport,New York,NY,USA,40.75454583,-74.00708389,0,,,Questa,36.80030556,-105.5975
FLL,PIT,872,JRB,Downtown Manhattan/Wall St. Heliport,New York,NY,USA,40.70121361,-74.00902833,0,,,"Westport, NY",44.15838611,-73.43290444
FLL,PNS,145,JRF,Kalaeloa (John Rodgers),Kapolei,HI,USA,21.30735389,-158.0703017,0,,,Towanda,41.74324028,-76.44457083
FLL,PSE,44,JSO,Jacksonville-Cherokee County,Jacksonville,TX,USA,31.86933667,-95.21739028,0,,,Magdalena,34.09450778,-107.2978142
FLL,PVD,424,JST,Johnstown-Cambria Cty,Johnstown,PA,USA,40.31611111,-78.83394444,0,,,Honesdale,41.51533861,-75.25148139
FLL,RDU,695,JVL,Rock County,Janesville,WI,USA,42.61958222,-89.04034028,0,,,Punxsutawney,40.96667472,-78.93000528
FLL,RIC,366,JVY,Clark County,Jeffersonville,IN,USA,38.36562278,-85.73829639,0,,,Wellsboro,41.72790028,-77.39651139
FLL,ROC,114,JWG,Watonga,Watonga,OK,USA,35.86469444,-98.42075,0,,,Pittstown,40.56626889,-74.97864139
FLL,SJU,765,JWN,John C. Tune,Nashville,TN,USA,36.18236194,-86.88672278,0,,,Pottstown,40.26040083,-75.67085306
FLL,SLC,242,JXN,Jackson County Reynolds,Jackson,MI,USA,42.25978556,-84.45940361,0,,,Readington,40.58286278,-74.73656222
FLL,STL,470,JYG,St James Municipal,St James,MN,USA,43.98631833,-94.55793722,0,,,East Stroudsburg,41.03587167,-75.16067889
FLL,SWF,476,JYL,Plantation Airpark,Sylvania,GA,USA,32.64544861,-81.59649722,0,,,Toughkenamon,39.83052639,-75.76974472
FLL,SYR,328,JYM,Hillsdale Municipal,Hillsdale,MI,USA,41.92126083,-84.5857625,0,,,Chambersburg,39.97295167,-77.64326778
FLL,TLH,262,JYO,Leesburg Executive,Leesburg,VA,USA,39.07797222,-77.5575,0,,,Stormville,41.57698222,-73.73235278
FLL,TPA,3036,JYR,Municipal,York,NE,USA,40.89675,-97.62277778,0,,,Warwick,41.28759361,-74.28709472
FLO,ATL,615,JZI,Charleston Executive,Charleston,SC,USA,32.70086111,-80.00291667,0,,,Vincentown,39.90415167,-74.74954917
FNT,ATL,3133,JZP,Pickens County,Jasper,GA,USA,34.45147972,-84.45659278,0,,,Shamokin,40.83692306,-76.55245611
FNT,DFW,246,JZZ,Koliganek,Koliganek,AK,USA,59.72664194,-157.2594722,0,,,Hammonton,39.66746889,-74.75773444
FNT,DTW,1522,K01,Farington,Auburn,NE,USA,40.38750167,-95.78916167,0,,,Wurtsboro,41.59720444,-74.45840722
FNT,LAS,90,K02,Perryville Municipal,Perryville,MO,USA,37.86866667,-89.86213889,0,,,Robbinsville,40.21394333,-74.60179472
FNT,LGA,393,K06,Greater Beardstown,Beardstown,IL,USA,39.97338139,-90.40373556,0,,,Ellenville,41.72787111,-74.37737583
FNT,MCO,455,K09,Piseco Muni,Piseco,NY,USA,43.45340222,-74.51765083,0,,,Golovin,64.55305556,-163.0088889
FNT,MKE,838,K15,Linn Creek-Grand Glaize Memorial,Osage Beach,MO,USA,38.11045,-92.68054583,0,,,West Chester,39.99472222,-75.58333333
FNT,MKG,105,K20,Wendell H. Ford,Hazard,KY,USA,37.38783833,-83.26205889,0,,,Reidsville,36.43722083,-79.85101
FNT,MSP,354,K22,Big Sandy Regional,Prestonburg,KY,USA,37.75102778,-82.63669444,0,,,West Jefferson,36.43243111,-81.41968472
FNT,ORD,1264,K24,Russell County,Jamestown,KY,USA,37.00888889,-85.10277778,0,,,Cavalier,48.78388139,-97.62981028
FNT,RSW,149,K29,Council,Council,AK,USA,64.89788278,-163.7034472,0,,,Ellendale,46.01247194,-98.51287889
FNT,TPA,200,K33,Salem Memorial,Salem,MO,USA,37.61523333,-91.60444167,0,,,Harvey,47.79123306,-99.93174222
FSD,ATL,135,K34,Municipal,Gardner,KS,USA,38.80708333,-94.95602778,0,,,Kenmare,48.66758278,-102.0475944
FSD,CVG,555,K39,St Clair Memorial,St Clair,MO,USA,38.37594333,-90.97073944,0,,,Lakota,48.0313875,-98.32788111
FSD,DEN,1429,K46,Blair Municipal,Blair,NE,USA,41.41805139,-96.1136275,0,,,La Moure (New Site),46.34663556,-98.28371
